artists,name,year,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms,genres
Bill Haley His Comets,(We're Gonna) Rock Around The Clock,1955,61,0.205,0.8109999999999999,0.8590000000000001,3.73e-06,0.0761,-6.317,0.168,0.784,90.686,129893,adult standards brill building pop rock-and-roll rockabilly
Elvis Presley,All Shook Up,1958,61,0.8809999999999999,0.624,0.46799999999999997,6.35e-06,0.14400000000000002,-12.162,0.132,0.9520000000000001,74.139,117080,rock-and-roll rockabilly
Elvis Presley,Don't Be Cruel,1958,61,0.856,0.6970000000000001,0.55,3.4399999999999996e-05,0.0907,-11.495999999999999,0.18,0.8440000000000001,84.802,122893,rock-and-roll rockabilly
Dean Martin Dick Stabile And His Orchestra,That's Amore,1954,61,0.782,0.47100000000000003,0.146,0.0,0.0888,-13.6,0.0309,0.595,78.554,190400,adult standards easy listening lounge vocal jazz
Julie London,I'm In The Mood For Love,1955,61,0.963,0.581,0.0543,0.00027400000000000005,0.0968,-14.595,0.0466,0.175,124.185,149827,adult standards easy listening lounge soul swing torch song vocal jazz
The Isley Brothers,"Shout, Pts. 1 & 2",1959,61,0.753,0.489,0.866,0.0,0.8759999999999999,-7.433,0.0933,0.41600000000000004,138.63,268560,classic soul disco funk motown quiet storm soul
Bobby Darin,Splish Splash,1958,60,0.385,0.645,0.943,0.0,0.37,-1.526,0.0393,0.965,147.768,131720,adult standards brill building pop easy listening lounge motown rock-and-roll rockabilly soul swing vocal jazz
Chet Baker,It's Always You - Vocal Version,1956,60,0.9229999999999999,0.499,0.0341,5.27e-05,0.131,-22.31,0.0417,0.31,81.735,215467,adult standards cool jazz jazz jazz trumpet lounge vocal jazz
Ritchie Valens,We Belong Together,1959,60,0.872,0.684,0.247,0.000166,0.113,-13.71,0.0281,0.768,106.522,116627,adult standards brill building pop rock-and-roll rockabilly
Frank Sinatra,The Lady Is A Tramp - Remastered,1957,60,0.515,0.551,0.14400000000000002,0.0,0.187,-13.883,0.0392,0.648,128.122,194307,adult standards easy listening lounge
The Flamingos,I Only Have Eyes for You,1959,60,0.9159999999999999,0.552,0.313,0.0017,0.12,-12.41,0.0296,0.303,88.554,202773,doo-wop rhythm and blues
Chuck Berry,Roll Over Beethoven,1959,60,0.8370000000000001,0.715,0.797,0.0,0.209,-10.154,0.193,0.841,92.73899999999999,144600,adult standards blues rock classic rock rock rock-and-roll rockabilly soul
Billie Holiday,Blue Moon,1956,59,0.982,0.639,0.26899999999999996,0.12,0.141,-11.435,0.0698,0.539,124.866,207827,adult standards harlem renaissance jazz jazz blues lounge soul torch song vocal jazz
Charles Mingus,Goodbye Pork Pie Hat,1959,59,0.9570000000000001,0.35600000000000004,0.0937,0.096,0.209,-16.64,0.0353,0.278,86.669,342373,avant-garde jazz bebop contemporary post-bop cool jazz electric bass free jazz hard bop jazz jazz double bass jazz fusion
Frank Sinatra,In The Wee Small Hours Of The Morning - Remastered 1998,1955,59,0.856,0.29,0.0874,0.0009570000000000001,0.109,-16.119,0.0346,0.0734,114.99700000000001,180933,adult standards easy listening lounge
Javier Solís,Esclavo y Amo,1958,59,0.866,0.251,0.308,6.18e-05,0.258,-11.544,0.0389,0.287,186.614,177013,bolero bolero mexicano mariachi ranchera
Howlin Wolf,Smokestack Lightnin',1958,59,0.8440000000000001,0.6609999999999999,0.342,0.000128,0.26,-16.361,0.043,0.588,146.118,188400,acoustic blues blues blues rock chicago blues classic rock delta blues harmonica blues memphis blues soul traditional blues
Dinah Washington,What A Diff'rence A Day Made,1959,58,0.925,0.387,0.11699999999999999,0.000171,0.109,-17.803,0.0299,0.166,93.575,151867,adult standards jazz jazz blues lounge soul swing vocal jazz
Ray Charles,Mess Around,1957,58,0.4370000000000001,0.565,0.9620000000000001,0.0,0.055999999999999994,-2.9810000000000003,0.064,0.9059999999999999,148.808,160227,adult standards classic soul jazz blues piano blues soul soul blues vocal jazz
Neil Sedaka,Oh! Carol,1959,58,0.63,0.728,0.7340000000000001,3.5600000000000005e-05,0.13699999999999998,-3.234,0.0318,0.965,135.078,135467,adult standards brill building pop bubblegum pop folk rock lounge mellow gold rockabilly soft rock
Fats Domino,Ain't That A Shame,1959,58,0.767,0.486,0.501,7.6e-05,0.0679,-8.57,0.0326,0.9420000000000001,122.89399999999999,152200,adult standards brill building pop louisiana blues lounge new orleans blues piano blues rhythm and blues rock-and-roll rockabilly soul
Judy Garland,Over The Rainbow,1954,58,0.972,0.204,0.161,8.99e-05,0.121,-15.190999999999999,0.0336,0.316,82.009,167467,adult standards hollywood lounge torch song vocal jazz
Billie Holiday,April In Paris,1958,58,0.927,0.496,0.127,7.070000000000001e-05,0.132,-14.210999999999999,0.0382,0.21100000000000002,74.74600000000002,185587,adult standards harlem renaissance jazz jazz blues lounge soul torch song vocal jazz
Chet Baker,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,1956,58,0.922,0.442,0.033,0.000171,0.151,-23.063000000000002,0.040999999999999995,0.21,103.34,179640,adult standards cool jazz jazz jazz trumpet lounge vocal jazz
Buddy Holly,Rave On,1958,57,0.611,0.5660000000000001,0.711,6.59e-06,0.41700000000000004,-6.5360000000000005,0.0335,0.961,159.629,109960,adult standards brill building pop folk rock rock-and-roll rockabilly
John Coltrane,Blue Train - Remastered 2003,1958,57,0.7979999999999999,0.506,0.493,0.00355,0.307,-7.758999999999999,0.0427,0.584,134.77,644013,bebop cool jazz free jazz jazz jazz saxophone
Johnny Cash,Folsom Prison Blues,1957,57,0.691,0.754,0.54,7.509999999999998e-05,0.0868,-8.326,0.0266,0.79,101.738,168554,arkansas country outlaw country
Bo Diddley,I'm A Man,1958,57,0.33299999999999996,0.513,0.546,0.0,0.17,-15.672,0.0391,0.8340000000000001,85.527,164547,blues blues rock brill building pop chicago blues classic rock electric blues funk rhythm and blues rock-and-roll rockabilly soul traditional blues
Billie Holiday,Crazy He Calls Me,1958,57,0.8490000000000001,0.483,0.145,3.5000000000000016e-06,0.214,-14.423,0.039,0.284,72.863,185280,adult standards harlem renaissance jazz jazz blues lounge soul torch song vocal jazz
Bill Evans,Peace Piece,1959,57,0.987,0.46399999999999997,0.0266,0.879,0.0836,-20.338,0.0532,0.0659,132.972,404160,bebop contemporary post-bop cool jazz hard bop jazz jazz fusion jazz trio stride
Ricky Nelson,Lonesome Town,1959,57,0.794,0.40399999999999997,0.193,0.000296,0.10300000000000001,-12.501,0.0305,0.273,77.02600000000002,134040,adult standards brill building pop bubblegum pop folk rock lounge rock-and-roll rockabilly
Claude Debussy Alexis Weissenberg,Claire de lune,1953,57,0.995,0.365,0.01,0.924,0.0584,-25.268,0.0519,0.0364,135.048,347427,classical impressionism post-romantic era
Julie London,Cry Me A River,1955,57,0.9640000000000001,0.495,0.0688,0.00227,0.11199999999999999,-14.927,0.0546,0.162,120.90100000000001,178573,adult standards easy listening lounge soul swing torch song vocal jazz
Ella Fitzgerald,"Bewitched, Bothered, And Bewildered",1956,57,0.971,0.344,0.10800000000000001,0.0,0.0961,-16.631,0.0475,0.263,61.188,423493,adult standards jazz blues swing vocal jazz
The Platters,Twilight Time - Single Version,1958,57,0.747,0.455,0.361,0.0,0.23800000000000002,-12.562000000000001,0.0473,0.285,115.854,168293,adult standards brill building pop doo-wop lounge rock-and-roll rockabilly soul vocal jazz
Ritchie Valens,Donna - Single Version,1959,56,0.8640000000000001,0.47200000000000003,0.225,0.0,0.111,-12.581,0.0263,0.29,100.29899999999999,150973,adult standards brill building pop rock-and-roll rockabilly
Jackie Wilson,Reet Petite,1958,56,0.447,0.664,0.66,0.0,0.298,-6.526,0.13,0.873,84.345,169240,adult standards brill building pop chicago soul classic soul funk lounge motown quiet storm rhythm and blues rock-and-roll rockabilly soul
Fats Domino,Blueberry Hill,1959,56,0.74,0.489,0.499,0.000236,0.156,-9.702,0.0271,0.8290000000000001,133.341,147880,adult standards brill building pop louisiana blues lounge new orleans blues piano blues rhythm and blues rock-and-roll rockabilly soul
Lou Donaldson,Autumn Nocturne,1958,56,0.9670000000000001,0.539,0.0678,0.168,0.114,-18.039,0.0468,0.263,124.105,294667,
Miles Davis,'Round Midnight,1957,56,0.79,0.495,0.182,0.000368,0.129,-11.116,0.0467,0.203,112.89,355333,cool jazz hard bop jazz jazz fusion jazz trumpet
Chuck Berry,Maybellene,1959,56,0.735,0.7559999999999999,0.768,0.0,0.182,-10.700999999999999,0.11199999999999999,0.7829999999999999,118.208,143240,adult standards blues rock classic rock rock rock-and-roll rockabilly soul
Miles Davis,Flamenco Sketches,1959,56,0.899,0.349,0.0219,0.12,0.0906,-21.065,0.0425,0.22399999999999998,177.92,566133,cool jazz hard bop jazz jazz fusion jazz trumpet
Thelonious Monk,'Round Midnight,1951,56,0.907,0.542,0.32,0.649,0.0609,-9.975,0.0387,0.20600000000000002,116.648,193840,bebop cool jazz hard bop jazz jazz fusion jazz piano stride
Doris Day Paul Weston And His Orchestra,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),1957,56,0.9209999999999999,0.386,0.125,6.42e-06,0.0919,-17.695,0.0394,0.254,147.721,223373,adult standards easy listening lounge vocal jazz
The Big Bopper,Chantilly Lace,1958,56,0.841,0.489,0.8059999999999999,2.9600000000000005e-05,0.0687,-6.053999999999999,0.0858,0.9440000000000001,172.269,145267,rock-and-roll rockabilly
Chet Baker,That Old Feeling,1956,56,0.633,0.643,0.175,4.24e-05,0.14300000000000002,-16.813,0.0391,0.642,78.031,183893,adult standards cool jazz jazz jazz trumpet lounge vocal jazz
Red Garland Paul Chambers Art Taylor,Almost Like Being In Love,1957,56,0.873,0.561,0.34600000000000003,0.39899999999999997,0.10400000000000001,-12.595999999999998,0.0409,0.6970000000000001,93.689,290293,bebop cool jazz hard bop jazz jazz piano soul jazz stride vocal jazz
Elvis Presley,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",1958,56,0.907,0.396,0.0373,4.41e-05,0.111,-18.642,0.0416,0.302,103.051,161360,rock-and-roll rockabilly
Oscar Peterson,Blue And Sentimental,1956,56,0.977,0.551,0.114,0.8740000000000001,0.141,-24.78,0.0451,0.124,70.141,146093,adult standards bebop big band cool jazz hard bop jazz jazz trio stride vocal jazz
The Chordettes,Mr. Sandman - 1954 #1 Billboard chart hit,1957,56,0.7090000000000001,0.623,0.315,0.0,0.0874,-12.321,0.0475,0.625,110.38,143133,adult standards brill building pop classic girl group doo-wop lounge rock-and-roll vocal harmony group
Patsy Cline,Walkin' After Midnight,1957,56,0.809,0.757,0.196,0.0,0.14,-15.395,0.0386,0.813,90.305,154667,adult standards nashville sound rockabilly
Julie London,I'm Glad There Is You,1955,55,0.958,0.49,0.0671,0.000968,0.109,-15.671,0.0401,0.166,125.40100000000001,147413,adult standards easy listening lounge soul swing torch song vocal jazz
Billie Holiday,I'll Look Around,1956,55,0.98,0.43799999999999994,0.0865,5.7399999999999986e-05,0.10300000000000001,-16.593,0.0334,0.315,69.804,195587,adult standards harlem renaissance jazz jazz blues lounge soul torch song vocal jazz
Miles Davis,Stella By Starlight,1959,55,0.912,0.485,0.14400000000000002,0.00011399999999999999,0.0965,-12.824000000000002,0.0362,0.24600000000000002,86.14299999999999,284560,cool jazz hard bop jazz jazz fusion jazz trumpet
Elvis Presley,Blue Moon - Take 9/M,1956,55,0.9520000000000001,0.419,0.1,0.449,0.11199999999999999,-22.829,0.0415,0.256,129.803,162213,rock-and-roll rockabilly
Lester Young Oscar Peterson Trio,There Will Never Be Another You,1959,55,0.978,0.588,0.0387,0.823,0.11599999999999999,-17.944000000000006,0.06,0.342,83.4,205667,bebop big band cool jazz hard bop jazz jazz saxophone soul jazz stride swing vocal jazz
Johnny Mathis,Misty,1959,55,0.8759999999999999,0.21600000000000005,0.267,2.7000000000000002e-05,0.109,-13.561,0.0351,0.218,82.098,216573,adult standards brill building pop easy listening lounge mellow gold vocal jazz
Carl Perkins,Blue Suede Shoes,1957,55,0.44799999999999995,0.5479999999999999,0.675,8.53e-05,0.297,-7.318,0.0364,0.965,168.891,134446,rock-and-roll rockabilly
Ritchie Valens,"Come On, Let's Go",1959,55,0.7879999999999999,0.616,0.7240000000000001,3.16e-06,0.128,-8.101,0.042,0.809,81.402,124587,adult standards brill building pop rock-and-roll rockabilly
Louis Prima Sam Butera The Witnesses,Pennies From Heaven,1957,55,0.452,0.515,0.408,0.0,0.0682,-11.96,0.19399999999999998,0.915,185.767,141667,adult standards jump blues lounge soul swing vocal jazz
Ella Fitzgerald,My Romance,1956,55,0.878,0.184,0.292,0.000258,0.34600000000000003,-12.245999999999999,0.0312,0.14300000000000002,75.63,224227,adult standards jazz blues swing vocal jazz
Ella Fitzgerald,Blue Skies,1959,55,0.8370000000000001,0.611,0.285,0.0,0.102,-10.225,0.0682,0.604,79.46300000000002,226360,adult standards jazz blues swing vocal jazz
Javier Solís,En Tu Pelo,1955,55,0.899,0.45799999999999996,0.425,0.0,0.152,-9.229,0.0351,0.818,145.366,180133,bolero bolero mexicano mariachi ranchera
Ella Fitzgerald Louis Armstrong,Let's Call The Whole Thing Off,1957,55,0.818,0.654,0.309,0.0,0.315,-13.485,0.168,0.599,123.251,251600,adult standards jazz blues swing vocal jazz
Charlie Parker,Summertime,1957,55,0.9620000000000001,0.33899999999999997,0.342,0.319,0.162,-7.596,0.0313,0.39299999999999996,132.599,167121,bebop big band cool jazz hard bop jazz jazz fusion jazz saxophone vocal jazz
Frank Sinatra,Autumn Leaves - 1999 / Digital Remaster,1957,55,0.868,0.21600000000000005,0.105,4.84e-05,0.18100000000000002,-17.766,0.0319,0.0774,81.422,172867,adult standards easy listening lounge
Miles Davis,Freddie Freeloader,1959,54,0.703,0.638,0.18600000000000005,0.00103,0.11800000000000001,-15.831,0.0347,0.498,128.372,586400,cool jazz hard bop jazz jazz fusion jazz trumpet
Miles Davis,Milestones,1958,54,0.442,0.5529999999999999,0.546,0.0005139999999999999,0.16699999999999998,-7.459,0.0341,0.7,118.215,342067,cool jazz hard bop jazz jazz fusion jazz trumpet
Dean Martin,Sway (Quien Sera),1954,54,0.728,0.591,0.24600000000000002,1.01e-06,0.0753,-12.140999999999998,0.039,0.56,120.132,165133,adult standards easy listening lounge vocal jazz
Dean Martin,Mambo Italiano,1954,54,0.792,0.752,0.33,0.0,0.0574,-13.138,0.228,0.65,76.525,142507,adult standards easy listening lounge vocal jazz
Nat King Cole,Mona Lisa,1954,54,0.9520000000000001,0.24100000000000002,0.237,0.0,0.113,-12.200999999999999,0.0371,0.303,174.578,194987,adult standards lounge soul vocal jazz
Frank Sinatra,Moonlight In Vermont - Remastered,1958,54,0.743,0.309,0.0887,4.02e-05,0.18100000000000002,-19.458,0.0342,0.237,84.79,212907,adult standards easy listening lounge
Sarah Vaughan,Misty,1958,54,0.976,0.22399999999999998,0.214,0.0009400000000000001,0.3670000000000001,-14.455,0.0348,0.14,83.906,179373,adult standards cool jazz jazz lounge soul swing torch song vocal jazz
Marty Robbins,They're Hanging Me Tonight,1959,54,0.799,0.688,0.19699999999999998,0.0,0.17800000000000002,-12.687999999999999,0.0399,0.555,104.698,184707,cowboy western nashville sound
Johnny Mathis Ray Conniff,Chances Are (with Ray Conniff & His Orchestra),1958,54,0.885,0.212,0.316,0.0,0.10300000000000001,-9.429,0.0314,0.271,83.59700000000002,182440,adult standards brill building pop easy listening lounge mellow gold vocal jazz
Javier Solís,Renunciación,1957,54,0.612,0.374,0.317,2.37e-05,0.245,-9.113,0.0373,0.51,134.957,177467,bolero bolero mexicano mariachi ranchera
Chuck Berry,Sweet Little Sixteen,1958,54,0.575,0.507,0.627,0.0,0.198,-7.837999999999999,0.0354,0.9620000000000001,175.30900000000003,180747,adult standards blues rock classic rock rock rock-and-roll rockabilly soul
Chet Baker,If You Could See Me Now,1959,54,0.941,0.524,0.0245,0.9109999999999999,0.14300000000000002,-21.153000000000002,0.0387,0.187,112.036,318467,adult standards cool jazz jazz jazz trumpet lounge vocal jazz
Ella Fitzgerald,My Funny Valentine,1956,54,0.9420000000000001,0.188,0.192,9.53e-06,0.166,-14.204,0.0339,0.145,86.169,235200,adult standards jazz blues swing vocal jazz
Frank Sinatra,Love Is Here To Stay - Remastered 1998,1956,54,0.6759999999999999,0.547,0.20800000000000002,0.0,0.1,-13.458,0.0334,0.424,108.999,162840,adult standards easy listening lounge
Ella Fitzgerald Louis Armstrong,Autumn In New York,1957,54,0.955,0.425,0.0469,0.0,0.13699999999999998,-18.612000000000002,0.0354,0.154,135.335,356627,adult standards jazz blues swing vocal jazz
Dion The Belmonts,I Wonder Why,1959,53,0.569,0.506,0.6990000000000001,0.0,0.158,-3.8339999999999996,0.0348,0.9009999999999999,103.463,141387,adult standards brill building pop doo-wop rhythm and blues rock-and-roll rockabilly
Little Richard,Rip It Up,1957,53,0.672,0.895,0.636,3.31e-06,0.0207,-6.0429999999999975,0.06,0.9670000000000001,95.92200000000001,141400,adult standards brill building pop rock-and-roll rockabilly soul
Frank Sinatra,Nice Work If You Can Get It - Remastered,1957,53,0.47600000000000003,0.518,0.32,0.0,0.0952,-11.514000000000001,0.0366,0.5920000000000001,132.512,141760,adult standards easy listening lounge
Sarah Vaughan,Black Coffee,1955,53,0.973,0.38,0.155,1.7e-05,0.0977,-11.977,0.0311,0.127,94.23,200440,adult standards cool jazz jazz lounge soul swing torch song vocal jazz
Elvis Presley,Mystery Train,1959,53,0.5870000000000001,0.6990000000000001,0.514,0.028999999999999998,0.22,-12.61,0.0315,0.63,120.758,144947,rock-and-roll rockabilly
Miles Davis Quintet,My Funny Valentine - Rudy Van Gelder Remaster,1957,53,0.924,0.551,0.11900000000000001,0.00264,0.11900000000000001,-15.468,0.0435,0.243,70.12899999999999,358200,cool jazz hard bop jazz jazz fusion jazz trumpet
José Alfredo Jimenez,Un Mundo Raro,1958,53,0.818,0.5489999999999999,0.147,0.0,0.33799999999999997,-17.026,0.0667,0.615,76.473,228440,mariachi ranchera regional mexican
Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),1959,53,0.457,0.569,0.428,5.08e-06,0.105,-13.038,0.0292,0.617,113.16799999999999,177333,bubblegum pop folk rock
Marty Robbins,The Master's Call,1959,53,0.809,0.693,0.387,0.0,0.11699999999999999,-9.995,0.0815,0.56,100.738,185467,cowboy western nashville sound
Elvis Presley,That's All Right,1959,53,0.8079999999999999,0.655,0.405,1.33e-06,0.11599999999999999,-9.825,0.036000000000000004,0.696,105.272,115280,rock-and-roll rockabilly
Chet Baker,But Not For Me - Vocal Version,1956,53,0.934,0.626,0.152,6.05e-05,0.12,-14.182,0.0405,0.545,82.17399999999998,184467,adult standards cool jazz jazz jazz trumpet lounge vocal jazz
Tennessee Ernie Ford,Sixteen Tons,1955,53,0.757,0.667,0.25,0.0,0.25,-18.533,0.217,0.41200000000000003,144.145,155902,bluegrass gospel country boogie country gospel yodeling
Miles Davis Quintet,It Never Entered My Mind,1959,53,0.892,0.47600000000000003,0.217,6.0899999999999996e-05,0.0966,-10.75,0.0308,0.121,116.079,323187,cool jazz hard bop jazz jazz fusion jazz trumpet
Nat King Cole,Perfidia,1959,53,0.7070000000000001,0.504,0.28600000000000003,2.55e-06,0.11199999999999999,-14.197000000000001,0.0466,0.593,97.916,140707,adult standards lounge soul vocal jazz
Gene Kelly,Singin' In The Rain,1952,52,0.889,0.354,0.24100000000000002,0.00027400000000000005,0.165,-13.811,0.0334,0.408,135.64600000000002,294067,adult standards vintage hollywood
Miles Davis,"Générique - BOF ""Ascenseur pour l'échafaud""",1958,52,0.9740000000000001,0.391,0.114,0.9490000000000001,0.183,-11.505999999999998,0.0329,0.139,70.197,168512,cool jazz hard bop jazz jazz fusion jazz trumpet
Elvis Presley,"I Want You, I Need You, I Love You",1958,52,0.875,0.441,0.33,0.0,0.31,-11.186,0.0301,0.726,78.744,159920,rock-and-roll rockabilly
Bo Diddley,Bo Diddley,1958,52,0.17600000000000002,0.809,0.701,0.0,0.184,-12.484000000000002,0.0574,0.563,105.696,149013,blues blues rock brill building pop chicago blues classic rock electric blues funk rhythm and blues rock-and-roll rockabilly soul traditional blues
Chet Baker,Alone Together,1959,52,0.872,0.441,0.0319,0.898,0.08800000000000001,-19.168,0.0357,0.113,110.471,413787,adult standards cool jazz jazz jazz trumpet lounge vocal jazz
